Time,Gross domestic product,Personal consumption expenditures,Goods,Durable goods,Nondurable goods,Services,Gross private domestic investment,Fixed investment,Nonresidential,Structures,Equipment,Intellectual property products,Residential,Change in private inventories,Net exports of goods and services,Exports,Goods,Services,Imports,Goods,Services,Government consumption expenditures and gross investment,Federal,National defense,Nondefense,State and local
1929,1191.124,880.634,,,,,125.432,,,,,,,12.863,,41.725,,,51.857,,,192.96,,,,
1930,1089.785,833.46,,,,,85.428,,,,,,,-5.689,,34.486,,,45.108,,,212.529,,,,
1931,1019.977,807.428,,,,,55.534,,,,,,,-13.205,,28.659,,,39.347,,,221.261,,,,
1932,888.414,735.141,,,,,20.483,,,,,,,-29.738,,22.459,,,32.647,,,214.177,,,,
1933,877.431,718.926,,,,,27.705,,,,,,,-15.231,,22.597,,,34.011,,,207.315,,,,
1934,972.263,770.287,,,,,45.824,,,,,,,-7.289,,25.118,,,34.748,,,232.966,,,,
1935,1058.836,817.04,,,,,79.731,,,,,,,9.448,,26.484,,,45.526,,,240.201,,,,
1936,1195.251,900.159,,,,,100.814,,,,,,,9.685,,27.823,,,45.002,,,277.992,,,,
1937,1256.503,933.45,,,,,124.152,,,,,,,16.184,,35.044,,,50.641,,,267.102,,,,
1938,1214.869,918.532,,,,,85.42,,,,,,,-3.807,,34.659,,,39.361,,,287.405,,,,
1939,1312.365,969.909,,,,,107.44,,,,,,,1.938,,36.587,,,41.336,,,312.728,,,,
1940,1428.075,1020.138,,,,,146.341,,,,,,,20.119,,41.621,,,42.337,,,324.0,,,,
1941,1681.049,1092.242,,,,,179.121,,,,,,,32.938,,42.672,,,52.056,,,545.308,,,,
1942,1998.542,1066.328,,,,,99.748,,,,,,,12.833,,28.175,,,47.265,,,1266.461,,,,
1943,2338.761,1096.056,,,,,62.225,,,,,,,-4.507,,23.749,,,59.596,,,1898.647,,,,
1944,2524.752,1127.231,,,,,74.271,,,,,,,-5.353,,25.508,,,62.372,,,2131.131,,,,
1945,2500.057,1196.935,,,,,95.58,,,,,,,-10.049,,35.745,,,66.32,,,1871.473,,,,
1946,2209.911,1344.928,,,,,229.561,,,,,,,31.733,,77.215,,,54.967,,,658.881,,,,
1947,2184.614,1370.608,,,,,220.953,,,,,,,-4.446,,88.041,,,52.189,,,559.049,,,,
1948,2274.627,1401.595,,,,,278.472,,,,,,,24.121,,69.343,,,60.897,,,590.482,,,,
1949,2261.928,1440.565,,,,,215.348,,,,,,,-12.727,,68.701,,,58.744,,,654.141,,,,
1950,2458.532,1533.079,,,,,299.986,,,,,,,24.058,,60.157,,,69.433,,,656.962,,,,
1951,2656.32,1557.103,,,,,300.709,,,,,,,33.379,,73.717,,,72.16,,,898.264,,,,
1952,2764.803,1606.248,,,,,276.147,,,,,,,13.426,,70.528,,,78.511,,,1075.477,,,,
1953,2894.411,1682.411,,,,,291.663,,,,,,,8.369,,65.802,,,85.891,,,1148.897,,,,
1954,2877.708,1717.566,,,,,280.194,,,,,,,-8.019,,68.988,,,81.656,,,1075.064,,,,
1955,3083.026,1844.282,,,,,344.968,,,,,,,19.908,,76.355,,,91.495,,,1040.265,,,,
1956,3148.765,1898.177,,,,,344.022,,,,,,,14.873,,88.96,,,98.923,,,1042.757,,,,
1957,3215.065,1945.234,,,,,331.145,,,,,,,3.655,,96.716,,,103.076,,,1090.781,,,,
1958,3191.216,1962.088,,,,,307.153,,,,,,,-0.928,,83.641,,,107.973,,,1127.283,,,,
1959,3412.421,2074.039,,,,,366.159,,,,,,,17.38,,92.244,,,119.454,,,1155.763,,,,
1960,3500.272,2130.948,,,,,367.506,,,,,,,14.766,,108.258,,,121.037,,,1163.092,,,,
1961,3590.066,2174.654,,,,,368.682,,,,,,,13.248,,108.84,,,120.225,,,1226.091,,,,
1962,3810.124,2282.175,,,,,412.505,,,,,,,27.317,,114.334,,,133.869,,,1306.505,,,,
1963,3976.142,2376.35,,,,,440.507,,,,,,,25.274,,122.475,,,137.478,,,1338.252,,,,
1964,4205.277,2517.774,,,,,475.251,,,,,,,21.539,,136.928,,,144.783,,,1371.129,,,,
1965,4478.555,2677.492,,,,,541.026,,,,,,,41.058,,140.763,,,160.193,,,1415.048,,,,
1966,4773.931,2829.308,,,,,589.613,,,,,,,58.829,,150.502,,,183.999,,,1538.29,,,,
1967,4904.864,2913.89,,,,,568.985,553.008,311.306,349.141,92.239,41.672,301.464,42.284,,153.933,,,197.406,,,1660.397,,,,
1968,5145.914,3081.798,,,,,602.995,591.853,326.243,354.034,97.866,44.806,342.278,38.418,,166.098,,,226.824,,,1716.835,,,,
